#,blue value,green value,red value,concentration,contaminant_type
44,0.671934326,0.193345336,0.134720338,0.00%,None (Distilled Water/Control)
45,0.667443932,0.19356601,0.138990058,0.00%,None (Distilled Water/Control)
46,0.67428029,0.192187056,0.133532654,0.00%,None (Distilled Water/Control)
47,0.671611822,0.19229825,0.136089928,0.00%,None (Distilled Water/Control)
48,0.681593125,0.188983031,0.129423843,0.00%,None (Distilled Water/Control)
49,0.678374808,0.190999577,0.130625615,0.00%,None (Distilled Water/Control)
50,0.674622393,0.192013873,0.133363734,0.00%,None (Distilled Water/Control)
51,0.677927861,0.19142665,0.130645489,0.00%,None (Distilled Water/Control)
52,0.536091705,0.354370823,0.109537471,25.40%,Dish Soap
53,0.536301103,0.35436008,0.109338816,25.40%,Dish Soap
54,0.53685841,0.35607699,0.1070646,25.40%,Dish Soap
55,0.532974461,0.353551197,0.113474342,25.40%,Dish Soap
56,0.534801406,0.355272442,0.109926152,25.40%,Dish Soap
57,0.531832374,0.353636585,0.114531041,25.40%,Dish Soap
58,0.526197303,0.352137577,0.12166512,25.40%,Dish Soap
59,0.526975571,0.351088769,0.12193566,25.40%,Dish Soap
60,0.533575482,0.354567574,0.111856944,25.40%,Dish Soap
61,0.535325897,0.354825585,0.109848518,25.40%,Dish Soap
62,0.536743185,0.355462071,0.107794743,25.40%,Dish Soap
63,0.536267327,0.354969357,0.108763316,25.40%,Dish Soap
64,0.536683945,0.354565541,0.108750514,25.40%,Dish Soap
65,0.535976256,0.35568647,0.108337274,25.40%,Dish Soap
66,0.537941259,0.355471039,0.106587702,25.40%,Dish Soap
67,0.537423738,0.355214216,0.107362045,25.40%,Dish Soap
68,0.534209595,0.355376576,0.110413829,25.40%,Dish Soap
69,0.531544678,0.353604584,0.114850737,25.40%,Dish Soap
70,0.5339104,0.355284802,0.110804797,25.40%,Dish Soap
71,0.534198415,0.355099721,0.110701864,25.40%,Dish Soap
72,0.534560475,0.35509196,0.110347565,25.40%,Dish Soap
73,0.535344634,0.356171446,0.108483921,25.40%,Dish Soap
74,0.535077092,0.35602754,0.108895369,25.40%,Dish Soap
75,0.534534505,0.355576918,0.109888578,25.40%,Dish Soap
76,0.536232098,0.356301511,0.107466391,25.40%,Dish Soap
77,0.538182696,0.357092596,0.104724708,25.40%,Dish Soap
78,0.538821367,0.358359033,0.1028196,25.40%,Dish Soap
79,0.534569791,0.356544454,0.108885755,25.40%,Dish Soap
80,0.535822472,0.356626045,0.107551483,25.40%,Dish Soap
81,0.536471504,0.356342412,0.107186084,25.40%,Dish Soap
82,0.536567293,0.355646984,0.107785724,25.40%,Dish Soap
83,0.537925376,0.357513671,0.104560953,25.40%,Dish Soap
84,0.5380099,0.357142907,0.104847193,25.40%,Dish Soap
85,0.538672893,0.358155227,0.10317188,25.40%,Dish Soap
86,0.537180983,0.357402656,0.105416361,25.40%,Dish Soap
87,0.53715645,0.35582243,0.10702112,25.40%,Dish Soap
88,0.537658949,0.357709487,0.104631564,25.40%,Dish Soap
89,0.538334411,0.357664755,0.104000835,25.40%,Dish Soap
90,0.537305683,0.357150191,0.105544127,25.40%,Dish Soap
91,0.538256056,0.358537617,0.103206327,25.40%,Dish Soap
92,0.538042217,0.358559985,0.103397798,25.40%,Dish Soap
93,0.535529072,0.357746732,0.106724196,25.40%,Dish Soap
94,0.535951357,0.357575457,0.106473186,25.40%,Dish Soap
95,0.535528439,0.35698413,0.107487431,25.40%,Dish Soap
96,0.535571817,0.357566554,0.106861629,25.40%,Dish Soap
97,0.535064277,0.357148729,0.107786994,25.40%,Dish Soap
98,0.534887477,0.357740839,0.107371684,25.40%,Dish Soap
99,0.534763837,0.356677806,0.108558357,25.40%,Dish Soap
100,0.535459062,0.356813558,0.10772738,25.40%,Dish Soap
101,0.535404412,0.356751607,0.107843981,25.40%,Dish Soap
102,0.536619356,0.357226808,0.106153836,25.40%,Dish Soap
103,0.535405299,0.354728603,0.109866098,25.40%,Dish Soap
104,0.534139257,0.355391917,0.110468826,25.40%,Dish Soap
105,0.532774049,0.355433658,0.111792293,25.40%,Dish Soap
106,0.543446519,0.436745444,0.019808036,49.80%,Dish Soap
107,0.545431693,0.435837854,0.018730453,49.80%,Dish Soap
108,0.540014663,0.433312549,0.026672788,49.80%,Dish Soap
109,0.54028072,0.434885834,0.024833447,49.80%,Dish Soap
110,0.53772984,0.427512937,0.034757223,49.80%,Dish Soap
111,0.539573795,0.429768361,0.030657844,49.80%,Dish Soap
112,0.537051083,0.425576835,0.037372082,49.80%,Dish Soap
113,0.534388006,0.429279469,0.036332525,49.80%,Dish Soap
114,0.537323071,0.433544173,0.029132756,49.80%,Dish Soap
115,0.540213396,0.436281229,0.023505375,49.80%,Dish Soap
116,0.536105097,0.433232934,0.030661969,49.80%,Dish Soap
117,0.537563719,0.433119268,0.029317013,49.80%,Dish Soap
118,0.537458745,0.434261404,0.028279851,49.80%,Dish Soap
119,0.53644082,0.4307682,0.032790979,49.80%,Dish Soap
120,0.538133327,0.42895744,0.032909233,49.80%,Dish Soap
121,0.539079946,0.435311434,0.02560862,49.80%,Dish Soap
122,0.536981718,0.43331292,0.029705362,49.80%,Dish Soap
123,0.535718239,0.431046605,0.033235156,49.80%,Dish Soap
124,0.535554839,0.43357841,0.03086675,49.80%,Dish Soap
125,0.5358918,0.430014483,0.034093717,49.80%,Dish Soap
126,0.535196377,0.431369822,0.033433801,49.80%,Dish Soap
127,0.536737996,0.4311281,0.032133904,49.80%,Dish Soap
128,0.537373488,0.427604329,0.035022183,49.80%,Dish Soap
129,0.541434089,0.43162849,0.02693742,49.80%,Dish Soap
130,0.543865169,0.437850593,0.018284238,49.80%,Dish Soap
131,0.540389916,0.432436394,0.02717369,49.80%,Dish Soap
132,0.538931803,0.434213518,0.026854679,49.80%,Dish Soap
133,0.539511177,0.433910023,0.0265788,49.80%,Dish Soap
134,0.540403645,0.434327987,0.025268368,49.80%,Dish Soap
135,0.540432218,0.433458685,0.026109097,49.80%,Dish Soap
136,0.540894463,0.435387687,0.02371785,49.80%,Dish Soap
137,0.539189496,0.434476484,0.02633402,49.80%,Dish Soap
138,0.545408169,0.436572217,0.018019615,49.80%,Dish Soap
139,0.544168113,0.436857621,0.018974266,49.80%,Dish Soap
140,0.545124287,0.439946613,0.014929099,49.80%,Dish Soap
141,0.542684677,0.433662894,0.023652429,49.80%,Dish Soap
142,0.537739511,0.432781455,0.029479034,49.80%,Dish Soap
143,0.531678251,0.427467888,0.040853861,49.80%,Dish Soap
144,0.526305587,0.422694922,0.050999491,49.80%,Dish Soap
145,0.530466937,0.418080181,0.051452882,49.80%,Dish Soap
146,0.530380522,0.427390511,0.042228967,49.80%,Dish Soap
147,0.536987705,0.425402837,0.037609458,49.80%,Dish Soap
148,0.543170207,0.43421945,0.022610342,49.80%,Dish Soap
149,0.544036041,0.434799899,0.021164059,49.80%,Dish Soap
150,0.545533321,0.436011636,0.018455043,49.80%,Dish Soap
151,0.545077637,0.44086887,0.014053493,49.80%,Dish Soap
152,0.543019375,0.435206245,0.021774381,49.80%,Dish Soap
153,0.544981575,0.436109743,0.018908682,49.80%,Dish Soap
154,0.543482723,0.435194576,0.021322702,49.80%,Dish Soap
155,0.54070122,0.432306916,0.026991864,49.80%,Dish Soap
156,0.539693121,0.432129385,0.028177495,49.80%,Dish Soap
157,0.540531459,0.433480017,0.025988524,49.80%,Dish Soap
158,0.54360384,0.435358891,0.021037269,49.80%,Dish Soap
,[0.554524810634716],[0.4275840079041855],[0.017891181461098533],75.50%,Dish Soap
,[0.554543767483682],[0.4270382936641852],[0.018417938852132675],75.50%,Dish Soap
,[0.5568123102526871],[0.42794051447339854],[0.015247175273914455],75.50%,Dish Soap
,[0.5567675388047526],[0.42824077072971034],[0.014991690465537156],75.50%,Dish Soap
,[0.5557390565190217],[0.42724804950342243],[0.01701289397755584],75.50%,Dish Soap
,[0.5565150211831947],[0.42854138486899135],[0.014943593947814013],75.50%,Dish Soap
,[0.5560835418843127],[0.42777524956672625],[0.016141208548960964],75.50%,Dish Soap
,[0.5562017586653516],[0.4281874229121808],[0.015610818422467624],75.50%,Dish Soap
,[0.5530318252923759],[0.42664985170431335],[0.020318323003310657],75.50%,Dish Soap
,[0.5515471554342557],[0.4262843759786875],[0.022168468587056886],75.50%,Dish Soap
,[0.550977338604553],[0.42631169867022967],[0.022710962725217325],75.50%,Dish Soap
,[0.5510773783670716],[0.4258778292593653],[0.02304479237356315],75.50%,Dish Soap
,[0.5514929609064987],[0.42600837702792593],[0.022498662065575385],75.50%,Dish Soap
,[0.5521734011276542],[0.4261965485534328],[0.021630050318913074],75.50%,Dish Soap
,[0.5498303016304235],[0.42387536067723536],[0.02629433769234124],75.50%,Dish Soap
,[0.5480045659756643],[0.42332716397897774],[0.028668270045357967],75.50%,Dish Soap
,[0.5486263703264591],[0.42301978196425644],[0.028353847709284407],75.50%,Dish Soap
,[0.5516058285632025],[0.42518803311098086],[0.0232061383258166],75.50%,Dish Soap
,[0.5557949970503135],[0.42811577196289624],[0.016089230986790125],75.50%,Dish Soap
,[0.5566292405309602],[0.4277376798514102],[0.015633079617629473],75.50%,Dish Soap
,[0.5557554141673332],[0.42936028841760737],[0.014884297415059387],75.50%,Dish Soap
,[0.5534675248617086],[0.42788985095834964],[0.01864262417994181],75.50%,Dish Soap
,[0.5510472017996711],[0.4257159949089646],[0.023236803291364315],75.50%,Dish Soap
,[0.5505702472937409],[0.42642642534980874],[0.02300332735645033],75.50%,Dish Soap
,[0.5471899952628768],[0.424344432991331],[0.02846557174579222],75.50%,Dish Soap
,[0.5383013679424087],[0.41811183972943156],[0.04358679232815974],75.50%,Dish Soap
,[0.5411945913384031],[0.41880369257204747],[0.04000171608954948],75.50%,Dish Soap
,[0.5462551266391633],[0.42075773915699405],[0.03298713420384268],75.50%,Dish Soap
,[0.5486507229792054],[0.4189161944926633],[0.0324330825281315],75.50%,Dish Soap
,[0.5492400595139916],[0.41825920372729064],[0.03250073675871772],75.50%,Dish Soap
,[0.5483381026864487],[0.419002512235749],[0.032659385077802285],75.50%,Dish Soap
,[0.546005825821458],[0.4161507361771117],[0.03784343800143037],75.50%,Dish Soap
,[0.5450786770550489],[0.4150610313950161],[0.03986029154993514],75.50%,Dish Soap
,[0.5498488711199438],[0.4175371643432361],[0.03261396453681995],75.50%,Dish Soap
,[0.5503838679997503],[0.41851509347655413],[0.031101038523695664],75.50%,Dish Soap
,[0.5606034632683186],[0.42506822744064604],[0.014328309291035348],75.50%,Dish Soap
,[0.5616867808602211],[0.425818753427849],[0.012494465711930048],75.50%,Dish Soap
,[0.5611568660998999],[0.42573569801168093],[0.013107435888419264],75.50%,Dish Soap
,[0.5611340598160729],[0.4261147513128648],[0.012751188871062193],75.50%,Dish Soap
,[0.5620632354124468],[0.4260178753929163],[0.01191888919463702],75.50%,Dish Soap
,[0.5617566765012669],[0.42485688787715337],[0.013386435621579623],75.50%,Dish Soap
,[0.5619949313027367],[0.42576185510753867],[0.012243213589724553],75.50%,Dish Soap
,[0.5613373474380859],[0.4257282924494947],[0.012934360112419326],75.50%,Dish Soap
,[0.5626911916312661],[0.42593747446212804],[0.01137133390660584],75.50%,Dish Soap
,[0.5616635583403095],[0.4257771799561907],[0.012559261703499957],75.50%,Dish Soap
,[0.5603839444086042],[0.4249074900826259],[0.01470856550876988],75.50%,Dish Soap
,[0.5589330520671877],[0.4250505578358018],[0.0160163900970105],75.50%,Dish Soap
,[0.5574468653569918],[0.4246722789070835],[0.01788085573592465],75.50%,Dish Soap
,[0.5601834804825365],[0.4245828730432307],[0.015233646474232707],75.50%,Dish Soap
,[0.5591442324492223],[0.4242049587972096],[0.01665080875356803],75.50%,Dish Soap
,[0.5594116526676125],[0.42538070436110265],[0.015207642971284912],75.50%,Dish Soap
,[0.5602432425037897],[0.4257089781831031],[0.014047779313107389],75.50%,Dish Soap
,[0.5584914109497067],[0.42545501567490024],[0.01605357337539306],75.50%,Dish Soap
,[0.5595206915248215],[0.425450917269195],[0.015028391205983524],75.50%,Dish Soap
,[0.5602866363663475],[0.4265111433469098],[0.013202220286742773],75.50%,Dish Soap
,[0.5602233776398435],[0.426582526743569],[0.013194095616587426],75.50%,Dish Soap
,[0.5617531548230162],[0.42640713346192427],[0.011839711715059483],75.50%,Dish Soap
,[0.6295251899837749],[0.2534523733889751],[0.11702243662725004],25.00%,Hand Soap
,[0.6280228656130422],[0.2527991532595246],[0.11917798112743318],25.00%,Hand Soap
,[0.6299686863180376],[0.25368624528028794],[0.1163450684016745],25.00%,Hand Soap
,[0.6312758966525803],[0.25358990464588776],[0.11513419870153191],25.00%,Hand Soap
,[0.6304208690408046],[0.25344797231924904],[0.11613115863994637],25.00%,Hand Soap
,[0.6295282727417865],[0.2537433755090527],[0.1167283517491609],25.00%,Hand Soap
,[0.6293458764849388],[0.25310313568814763],[0.11755098782691362],25.00%,Hand Soap
,[0.6297023430397025],[0.2531684567480708],[0.11712920021222659],25.00%,Hand Soap
,[0.6308924545140641],[0.25341023183372796],[0.11569731365220795],25.00%,Hand Soap
,[0.6301272774018959],[0.2532679168440348],[0.11660480575406926],25.00%,Hand Soap
,[0.6305653848909939],[0.25319984210296165],[0.11623477300604447],25.00%,Hand Soap
,[0.6307787719489754],[0.25376465156610645],[0.11545657648491815],25.00%,Hand Soap
,[0.629569196659579],[0.25267567537512964],[0.11775512796529133],25.00%,Hand Soap
,[0.6290867824047466],[0.2526976608125961],[0.11821555678265742],25.00%,Hand Soap
,[0.628957444980686],[0.25273613712557663],[0.11830641789373735],25.00%,Hand Soap
,[0.629283589217899],[0.25248635503872613],[0.11823005574337493],25.00%,Hand Soap
,[0.6284035281319038],[0.25275595710951915],[0.11884051475857707],25.00%,Hand Soap
,[0.6279279849380738],[0.2527051006468599],[0.11936691441506632],25.00%,Hand Soap
,[0.6282483391619846],[0.2527944952918663],[0.11895716554614896],25.00%,Hand Soap
,[0.6288668179903754],[0.2532016423288408],[0.11793153968078379],25.00%,Hand Soap
,[0.6296032882096211],[0.2525420799103948],[0.11785463187998418],25.00%,Hand Soap
,[0.6285617322981207],[0.25250693014133996],[0.11893133756053938],25.00%,Hand Soap
,[0.628671501109853],[0.25274396484624956],[0.11858453404389734],25.00%,Hand Soap
,[0.6288801792858486],[0.2529599758394177],[0.11815984487473367],25.00%,Hand Soap
,[0.6287380756911546],[0.2523808175558116],[0.11888110675303373],25.00%,Hand Soap
,[0.6288476626380799],[0.2523824106127884],[0.11876992674913174],25.00%,Hand Soap
,[0.6299867777374233],[0.25215789789448434],[0.1178553243680924],25.00%,Hand Soap
,[0.6295457180937166],[0.2529517461453278],[0.11750253576095553],25.00%,Hand Soap
,[0.6302164176269754],[0.2524086410360068],[0.11737494133701777],25.00%,Hand Soap
,[0.630104675039056],[0.25292274045001445],[0.11697258451092957],25.00%,Hand Soap
,[0.6314886339874956],[0.25141172844049875],[0.11709963757200563],25.00%,Hand Soap
,[0.6346911730319144],[0.2514481150680598],[0.11386071190002582],25.00%,Hand Soap
,[0.6347283583342765],[0.2512565878258823],[0.11401505383984115],25.00%,Hand Soap
,[0.6341892834222177],[0.25097364137535616],[0.11483707520242604],25.00%,Hand Soap
,[0.6346551212248633],[0.2516990689445134],[0.11364580983062322],25.00%,Hand Soap
,[0.6340041342352677],[0.25219705821431604],[0.11379880755041626],25.00%,Hand Soap
,[0.6360823985915439],[0.25161661816734293],[0.11230098324111316],25.00%,Hand Soap
,[0.6326824145629688],[0.2530885020082701],[0.11422908342876109],25.00%,Hand Soap
,[0.6318746224463057],[0.25193898395227965],[0.11618639360141467],25.00%,Hand Soap
,[0.630844252304537],[0.2530403647316087],[0.1161153829638544],25.00%,Hand Soap
,[0.6308233461895335],[0.2524701806014826],[0.11670647320898402],25.00%,Hand Soap
,[0.6297357932773596],[0.25255340347714095],[0.11771080324549944],25.00%,Hand Soap
,[0.6289736367234305],[0.2501894848498575],[0.12083687842671204],25.00%,Hand Soap
,[0.6305324721043915],[0.25152848425985264],[0.11793904363575587],25.00%,Hand Soap
,[0.6301192635334365],[0.2508081877841431],[0.11907254868242037],25.00%,Hand Soap
,[0.6303381423664003],[0.25273939730784906],[0.11692246032575068],25.00%,Hand Soap
,[0.6308208353776827],[0.25100413170299396],[0.11817503291932333],25.00%,Hand Soap
,[0.6291190891403379],[0.24991661333879434],[0.1209642975208678],25.00%,Hand Soap
,[0.6304187131047888],[0.25128696941215956],[0.11829431748305164],25.00%,Hand Soap
,[0.6307323416694646],[0.25268096145831775],[0.11658669687221766],25.00%,Hand Soap
,[0.631675228233893],[0.25249229052224337],[0.11583248124386353],25.00%,Hand Soap
,[0.630866040226085],[0.2523970095553796],[0.11673695021853563],25.00%,Hand Soap
,[0.6287811825799136],[0.25250801750033414],[0.11871079991975231],25.00%,Hand Soap
,[0.6303108193361551],[0.2526044678027975],[0.11708471286104748],25.00%,Hand Soap
,[0.6300358653905546],[0.25256902888740324],[0.11739510572204218],25.00%,Hand Soap
,[0.6475946491539073],[0.2673238457255121],[0.08508150512058058],49.80%,Hand Soap
,[0.6476299340700546],[0.2674918098625896],[0.0848782560673559],49.80%,Hand Soap
,[0.647280224584706],[0.26736752104642314],[0.08535225436887088],49.80%,Hand Soap
,[0.6471797605119238],[0.26731362616905213],[0.085506613319024],49.80%,Hand Soap
,[0.6476588431940811],[0.2674865273429585],[0.08485462946296043],49.80%,Hand Soap
,[0.6474331167323022],[0.267107135446028],[0.08545974782166989],49.80%,Hand Soap
,[0.6476824811394906],[0.26774157120726927],[0.08457594765324027],49.80%,Hand Soap
,[0.6474387693897324],[0.2673376545210319],[0.08522357608923563],49.80%,Hand Soap
,[0.6477971886074392],[0.2674220566351472],[0.08478075475741358],49.80%,Hand Soap
,[0.6476320253947779],[0.2673981976620842],[0.08496977694313775],49.80%,Hand Soap
,[0.6476736752358443],[0.26720531252698565],[0.08512101223717025],49.80%,Hand Soap
,[0.6475568022850936],[0.2673795481269257],[0.08506364958798066],49.80%,Hand Soap
,[0.6471420536687251],[0.26748850300660854],[0.0853694433246665],49.80%,Hand Soap
,[0.6473254350513585],[0.26740172562668446],[0.08527283932195695],49.80%,Hand Soap
,[0.6477511742454632],[0.26758848515474726],[0.08466034059978948],49.80%,Hand Soap
,[0.646655331696149],[0.2671684650934],[0.08617620321045119],49.80%,Hand Soap
,[0.6470224704172234],[0.26722708103185167],[0.08575044855092491],49.80%,Hand Soap
,[0.6469085848236895],[0.2669048781002494],[0.08618653707606104],49.80%,Hand Soap
,[0.6472372209489979],[0.2675492538354885],[0.08521352521551358],49.80%,Hand Soap
,[0.6473252980431808],[0.2677365750884649],[0.08493812686835425],49.80%,Hand Soap
,[0.6472913071741659],[0.2677404123115558],[0.08496828051427836],49.80%,Hand Soap
,[0.6476548367796118],[0.26786252071046707],[0.08448264250992107],49.80%,Hand Soap
,[0.6471395487812578],[0.26730661166422953],[0.08555383955451268],49.80%,Hand Soap
,[0.6478601136859731],[0.26753951262446235],[0.0846003736895646],49.80%,Hand Soap
,[0.6478654241701527],[0.26779849525455096],[0.08433608057529646],49.80%,Hand Soap
,[0.6472321864343528],[0.26742404574673156],[0.08534376781891574],49.80%,Hand Soap
,[0.6473788040574266],[0.2674885398858014],[0.08513265605677184],49.80%,Hand Soap
,[0.6469545038026832],[0.26727275456664756],[0.0857727416306694],49.80%,Hand Soap
,[0.6454323405528248],[0.2664814310209903],[0.0880862284261848],49.80%,Hand Soap
,[0.6457711762670904],[0.2661095238960932],[0.08811929983681652],49.80%,Hand Soap
,[0.6481670270115748],[0.2676130428781323],[0.08421993011029284],49.80%,Hand Soap
,[0.6475920742710661],[0.26696949444191476],[0.08543843128701908],49.80%,Hand Soap
,[0.6488701062260902],[0.26731046124930696],[0.08381943252460282],49.80%,Hand Soap
,[0.6479619232354309],[0.267078221367969],[0.08495985539659993],49.80%,Hand Soap
,[0.6480282620485981],[0.26734801051789064],[0.08462372743351121],49.80%,Hand Soap
,[0.6480979185795498],[0.2673064404394437],[0.08459564098100655],49.80%,Hand Soap
,[0.6487757150178194],[0.26748514252337086],[0.08373914245880978],49.80%,Hand Soap
,[0.6489470524351107],[0.2670735644901335],[0.08397938307475573],49.80%,Hand Soap
,[0.6481841626155121],[0.26755088979647085],[0.08426494758801689],49.80%,Hand Soap
,[0.6476133934517355],[0.266540552594225],[0.08584605395403942],49.80%,Hand Soap
,[0.6482405951186437],[0.26701613112256645],[0.08474327375878986],49.80%,Hand Soap
,[0.6476359771722533],[0.2667103478474598],[0.08565367498028682],49.80%,Hand Soap
,[0.64847819666478],[0.2673124590132221],[0.08420934432199789],49.80%,Hand Soap
,[0.6472423529879447],[0.2669425516793811],[0.08581509533267405],49.80%,Hand Soap
,[0.6485677551842709],[0.26745800605343234],[0.08397423876229673],49.80%,Hand Soap
,[0.6472511850636251],[0.2673569214420786],[0.08539189349429634],49.80%,Hand Soap
,[0.6474945444652913],[0.2669667529056999],[0.08553870262900885],49.80%,Hand Soap
,[0.6476900532594813],[0.2667259518313229],[0.08558399490919587],49.80%,Hand Soap
,[0.6471103370709723],[0.26708432686434846],[0.08580533606467927],49.80%,Hand Soap
,[0.6476675581525186],[0.2674752308282055],[0.08485721101927586],49.80%,Hand Soap
,[0.6473772487733827],[0.2670640824514408],[0.08555866877517661],49.80%,Hand Soap
,[0.6471312874109146],[0.2667795874043949],[0.0860891251846904],49.80%,Hand Soap
,[0.6474783333714955],[0.26774169001664644],[0.08477997661185813],49.80%,Hand Soap
,[0.7003830081196551],[0.26955789796495216],[0.030059093915392635],74.50%,Hand Soap
,[0.6996549799931951],[0.27038648344820515],[0.029958536558599713],74.50%,Hand Soap
,[0.6981966608487306],[0.2701817108855728],[0.031621628265696776],74.50%,Hand Soap
,[0.7019109098510253],[0.27044071924432656],[0.027648370904648025],74.50%,Hand Soap
,[0.7013674452838704],[0.27026501286239085],[0.028367541853738732],74.50%,Hand Soap
,[0.7004942814124618],[0.27029645348311837],[0.029209265104419718],74.50%,Hand Soap
,[0.7008232099458329],[0.2700798129788298],[0.029096977075337406],74.50%,Hand Soap
,[0.7004003235135572],[0.27000875941756997],[0.029590917068872714],74.50%,Hand Soap
,[0.7009645297896441],[0.26962872949107697],[0.029406740719279054],74.50%,Hand Soap
,[0.7022530135300938],[0.269581313553065],[0.028165672916840998],74.50%,Hand Soap
,[0.7009529077373295],[0.27006605703978204],[0.02898103522288842],74.50%,Hand Soap
,[0.7007136536899959],[0.2695651997285005],[0.029721146581503637],74.50%,Hand Soap
,[0.6980836550341043],[0.26887246325014036],[0.033043881715755376],74.50%,Hand Soap
,[0.7017454538936652],[0.2698682323446498],[0.02838631376168499],74.50%,Hand Soap
,[0.702498424232684],[0.2693945844424573],[0.028106991324858555],74.50%,Hand Soap
,[0.7012362596497482],[0.2700845819854233],[0.028679158364828497],74.50%,Hand Soap
,[0.7016233344694047],[0.26970117616997535],[0.02867548936061974],74.50%,Hand Soap
,[0.7017951490707064],[0.2697114885163285],[0.028493362412965195],74.50%,Hand Soap
,[0.7021976607447901],[0.2698411484421221],[0.027961190813087806],74.50%,Hand Soap
,[0.7027047368338144],[0.2694434935407113],[0.027851769625474358],74.50%,Hand Soap
,[0.7028111684573793],[0.2697436619743861],[0.02744516956823465],74.50%,Hand Soap
,[0.7017003601136763],[0.26946885732926884],[0.02883078255705483],74.50%,Hand Soap
,[0.7004388830209112],[0.26959488524849856],[0.0299662317305903],74.50%,Hand Soap
,[0.7002241685553132],[0.270073172836398],[0.029702658608288697],74.50%,Hand Soap
,[0.7013460065422902],[0.27007551799071866],[0.0285784754669912],74.50%,Hand Soap
,[0.7013237167794563],[0.2700616778023004],[0.02861460541824341],74.50%,Hand Soap
,[0.7021651063832509],[0.27015081330944946],[0.027684080307299436],74.50%,Hand Soap
,[0.7028431942957567],[0.2700706989072167],[0.027086106797026593],74.50%,Hand Soap
,[0.704327775353204],[0.27006930205378443],[0.025602922593011578],74.50%,Hand Soap
,[0.702728116128189],[0.2695405175374748],[0.027731366334336156],74.50%,Hand Soap
,[0.701149709002001],[0.2693929041974769],[0.029457386800521998],74.50%,Hand Soap
,[0.7021522969797185],[0.2700647234897243],[0.027782979530557205],74.50%,Hand Soap
,[0.70034172392792],[0.2699764547337549],[0.029681821338325195],74.50%,Hand Soap
,[0.7018411115180978],[0.2705457648923203],[0.02761312358958185],74.50%,Hand Soap
,[0.7000495227879242],[0.26984406715098924],[0.030106410061086712],74.50%,Hand Soap
